	Frequency [Hz]	Amplitude [m/s2]	Phase Angle [deg]
51.0	0.0174369995527	6.85511764985
52.0	0.0159914223957	9.54852466020
53.0	0.0140476942678	14.0166689750
54.0	0.0115835531969	22.3303005088
55.0	0.00889682554473	40.3177396335
56.0	0.00778277111309	78.9413195870
57.0	0.0117724085129	118.703777120
58.0	0.0210175514513	137.116993446
59.0	0.0354061878279	144.700126257
60.0	0.0568907800343	147.494854123
61.0	0.0898556526998	147.308576989
62.0	0.143415581026	144.162607611
63.0	0.237548636243	136.399091444
64.0	0.410396165725	118.849993852
65.0	0.617420434919	83.0304579962
66.0	0.57769343996	45.4103350721
67.0	0.455197637653	25.8339165729
68.0	0.376381252287	16.3893202627
69.0	0.329552971218	11.2072059109
70.0	0.300644957096	8.02507487543
71.0	0.282209021087	5.90387427329
72.0	0.270338693777	4.40130542087
73.0	0.262860856629	3.28595567403
74.0	0.258491596296	2.42640783418
75.0	0.256432603876	1.74307119055
76.0	0.256166738209	1.18519284554
77.0	0.257348256792	0.719012752131
78.0	0.25974072948	0.321265232138
79.0	0.263180309849	-0.0245769202416
80.0	0.267553166067	-0.330570558498
81.0	0.272781171439	-0.605724186774
82.0	0.278812597673	-0.856918946256
83.0	0.285615955483	-1.08952246310
84.0	0.29317587735	-1.30780868010
85.0	0.301490372127	-1.51525190945
86.0	0.310569039778	-1.71473749729
87.0	0.320431975131	-1.90871621307
88.0	0.33110920619	-2.09932004764
89.0	0.342640555665	-2.28845136508
90.0	0.355075871948	-2.47785356765
91.0	0.368475603142	-2.66916911441
92.0	0.382911713046	-2.86398909566
93.0	0.398468960469	-3.06389767978
94.0	0.415246583986	-3.27051406491
95.0	0.433360470034	-3.48553419976
96.0	0.452945889306	-3.71077458376
97.0	0.474160948776	-3.94822032379
98.0	0.497190937755	-4.20008009406
99.0	0.522253815629	-4.46885109760
100.0	0.549607179154	-4.75739394132
