Frequency	Amplitude	Phase Angle [deg]
51.0	3.4329800406e-06	179.255246074
52.0	3.45354710975e-06	179.205252228
53.0	3.47640108832e-06	179.145830019
54.0	3.50207404048e-06	179.073649920
55.0	3.53129322823e-06	178.983748161
56.0	3.56507868904e-06	178.868465858
57.0	3.60490379216e-06	178.715497021
58.0	3.65296919735e-06	178.504087416
59.0	3.71268714189e-06	178.197114488
60.0	3.78955982425e-06	177.723184846
61.0	3.89273986671e-06	176.931997543
62.0	4.03713148437e-06	175.469617350
63.0	4.23903492553e-06	172.391443438
64.0	4.42812054611e-06	165.093535840
65.0	3.93794093012e-06	151.962238136
66.0	2.83613438169e-06	154.404245597
67.0	2.66686702785e-06	166.911924799
68.0	2.79968886784e-06	172.970469706
69.0	2.93206511595e-06	175.568304488
70.0	3.03551414002e-06	176.828504816
71.0	3.11636126097e-06	177.513527243
72.0	3.18175277278e-06	177.918094960
73.0	3.23664920291e-06	178.171136673
74.0	3.28431248304e-06	178.335391039
75.0	3.32691340449e-06	178.444107378
76.0	3.3659373412e-06	178.516147280
77.0	3.40243309688e-06	178.562810596
78.0	3.43716505251e-06	178.591170876
79.0	3.47070796126e-06	178.605814192
80.0	3.50350758856e-06	178.609796174
81.0	3.53592054026e-06	178.605193329
82.0	3.56824118402e-06	178.593433195
83.0	3.60072034312e-06	178.575498541
84.0	3.63357868758e-06	178.552057099
85.0	3.66701657424e-06	178.523545640
86.0	3.70122161648e-06	178.490225234
87.0	3.73637465115e-06	178.452217623
88.0	3.77265471987e-06	178.409528855
89.0	3.81024342317e-06	178.362063942
90.0	3.84932893497e-06	178.309634906
91.0	3.89010989852e-06	178.251963609
92.0	3.93279941308e-06	178.188680220
93.0	3.97762930358e-06	178.119317634
94.0	4.02485484057e-06	178.043301883
95.0	4.07476013211e-06	177.959938205
96.0	4.12766444835e-06	177.868392140
97.0	4.18392972803e-06	177.767664636
98.0	4.24396971757e-06	177.656559730
99.0	4.30826115377e-06	177.533642692
100.0	4.37735769547e-06	177.397035955
