Frequency	Amplitude	Phase Angle [deg]
51.0	3.56857878628e-06	6.93522083091
52.0	3.16506999486e-06	9.44862734639
53.0	2.70107851666e-06	13.5317784771
54.0	2.17777879549e-06	20.9028386249
55.0	1.63673131974e-06	36.2517060870
56.0	1.30336950791e-06	70.0763008789
57.0	1.71085831559e-06	112.259654079
58.0	2.9269338545e-06	134.156817550
59.0	4.81237539972e-06	143.228019325
60.0	7.53206745306e-06	146.702625111
61.0	1.15580705454e-05	146.878258323
62.0	1.78928723377e-05	143.950099058
63.0	2.87181120356e-05	136.330524683
64.0	4.80495375372e-05	118.883753830
65.0	6.9988698387e-05	83.1413570870
66.0	6.33951742239e-05	45.5822688601
67.0	4.8357928422e-05	26.0561460140
68.0	3.87107439593e-05	16.6544525922
69.0	3.28179012025e-05	11.5100329596
70.0	2.89921194447e-05	8.36187205629
71.0	2.63574435811e-05	6.27196047791
72.0	2.44577740203e-05	4.79875731773
73.0	2.30400075856e-05	3.71141706967
74.0	2.19544564976e-05	2.87895959285
75.0	2.11076190759e-05	2.22214094380
76.0	2.0438369665e-05	1.69049158006
77.0	1.99052111028e-05	1.25049006184
78.0	1.94790745467e-05	0.879077891608
79.0	1.913905964e-05	0.559913379217
80.0	1.88698111583e-05	0.281110900697
81.0	1.86598468721e-05	0.0338246610662
82.0	1.85004592304e-05	-0.188667612683
83.0	1.83849752171e-05	-0.391574562853
84.0	1.83082461815e-05	-0.57900752494
85.0	1.82662897011e-05	-0.754271317947
86.0	1.82560341127e-05	-0.920071747262
87.0	1.82751341262e-05	-1.07866676573
88.0	1.83218369523e-05	-1.23197888551
89.0	1.83948846884e-05	-1.3816806438
90.0	1.84934439724e-05	-1.52926116834
91.0	1.86170562447e-05	-1.67607952318
92.0	1.87656043561e-05	-1.82340892643
93.0	1.89392926998e-05	-1.97247491472
94.0	1.91386390333e-05	-2.12448987517
95.0	1.93644769563e-05	-2.28068598896
96.0	1.96179689726e-05	-2.44234842817
97.0	1.99006304805e-05	-2.61085066971
98.0	2.02143658549e-05	-2.78769393545
99.0	2.05615186525e-05	-2.97455314579
100.0	2.09449387606e-05	-3.17332970013
