	Frequency [Hz]	Amplitude [m/s2]	Phase Angle [deg]
50.0	0.155554702721	-102.375040841
51.0	0.183014629547	-94.9766916311
52.0	0.219469313929	-88.8907365841
53.0	0.26629773512	-84.1860028924
54.0	0.325124094245	-80.8023954267
55.0	0.397936941358	-78.6343440606
56.0	0.487160872583	-77.5819465608
57.0	0.5956653751	-77.5745217697
58.0	0.726666114884	-78.5776831601
59.0	0.883424659308	-80.5912676554
60.0	1.06859256895	-83.6404361432
61.0	1.28301325172	-87.7584400142
62.0	1.52390565794	-92.9577823872
63.0	1.78281420877	-99.1889576081
64.0	2.04459924103	-106.295900518
65.0	2.28938671646	-113.992958597
66.0	2.49818136218	-121.893318727
67.0	2.65948249802	-129.592062382
68.0	2.77235957868	-136.761920906
69.0	2.84431809634	-143.208015232
70.0	2.88656618261	-148.864964282
71.0	2.91004264133	-153.759269197
72.0	2.92348696133	-157.966838043
73.0	2.93309956572	-161.581402563
74.0	2.94294792631	-164.696136350
75.0	2.95554957242	-167.395056700
76.0	2.97238436525	-169.750202418
77.0	2.99427348634	-171.821710953
78.0	3.02163709588	-173.659112887
79.0	3.05466147163	-175.302977956
80.0	3.09340435755	-176.786517232
81.0	3.13786016850	-178.136989270
82.0	3.18799969995	-179.376873762
83.0	3.24379401406	179.475478215
84.0	3.30522853654	178.403862077
85.0	3.37231126844	177.395433271
86.0	3.44507739478	176.439004014
87.0	3.52359186518	175.524958378
88.0	3.60795074897	174.644940057
89.0	3.69828204011	173.791600119
90.0	3.79474610339	172.958391366
91.0	3.89753606852	172.139399047
92.0	4.00687822793	171.329199693
93.0	4.12303243132	170.522741721
94.0	4.24629257482	169.715242820
95.0	4.37698697966	168.902099948
96.0	4.51547872067	168.078809102
97.0	4.66216563262	167.240892053
98.0	4.81747989843	166.383828304
99.0	4.98188682888	165.502990852
100.0	5.15588255592	164.593445728
