	Frequency [Hz]	Amplitude [m/s2]	Phase Angle [deg]
50.0	8.50402897703	159.293717101
51.0	9.30107632377	157.807327582
52.0	10.1929316323	156.143670929
53.0	11.1941248355	154.270890027
54.0	12.3213343478	152.150097867
55.0	13.5932712788	149.733808242
56.0	15.0300709921	146.964227283
57.0	16.6517319465	143.771673281
58.0	18.4748325433	140.073750192
59.0	20.5063646309	135.776554577
60.0	22.7332623349	130.780238845
61.0	25.1067751327	124.992522164
62.0	27.5237317535	118.354205968
63.0	29.8136468710	110.877714156
64.0	31.7495925673	102.689506075
65.0	33.0998624084	94.0514550851
66.0	33.7105166550	85.3311599546
67.0	33.5690198410	76.9179251947
68.0	32.7998872912	69.1262677893
69.0	31.5999115400	62.1406103670
70.0	30.1652320440	56.0177348875
71.0	28.6489874428	50.7240590268
72.0	27.1520907819	46.1778469828
73.0	25.7319899947	42.2805857680
74.0	24.4160228443	38.9352050872
75.0	23.2129586701	36.0545482074
76.0	22.1211326722	33.5640948883
77.0	21.1335891174	31.4018071826
78.0	20.2411114505	29.5167760555
79.0	19.4339067817	27.8675313331
80.0	18.7024835924	26.4204082795
81.0	18.0380659118	25.1481214591
82.0	17.4327507389	24.0285805191
83.0	16.8795293659	23.0439348863
84.0	16.3722413451	22.1798149050
85.0	15.9054994319	21.4247367163
86.0	15.4746059188	20.7696392156
87.0	15.0754714835	20.2075275429
88.0	14.7045416421	19.7332021894
89.0	14.3587330893	19.3430573324
90.0	14.0353809424	19.0349352188
91.0	13.7321968113	18.8080268726
92.0	13.4472377161	18.6628104711
93.0	13.1788858887	18.6010200749
94.0	12.9258395745	18.6256382371
95.0	12.6871155346	18.7409039038
96.0	12.4620641094	18.9523263050
97.0	12.2503983532	19.2666909652
98.0	12.0522391035	19.6920379938
99.0	11.8681780073	20.2375850116
100.0	11.6993609237	20.9135359741
