Frequency	Amplitude	Phase Angle
50.0	5.79239623164	-16.9444602484
51.0	6.39068353951	-18.2112629932
52.0	7.07202194924	-19.6432443480
53.0	7.85250853088	-21.2746483179
54.0	8.75206807694	-23.1491759492
55.0	9.79532907259	-25.3231228000
56.0	11.0124841983	-27.8695986598
57.0	12.4397737115	-30.8840566987
58.0	14.1186928129	-34.4910983578
59.0	16.0918811150	-38.8516246111
60.0	18.3914836527	-44.1669504232
61.0	21.0126213569	-50.6708349429
62.0	23.8636236048	-58.5901853415
63.0	26.6984252567	-68.0462829921
64.0	29.0859731396	-78.8901760611
65.0	30.5287221006	-90.5635924741
66.0	30.7461905368	-102.181442384
67.0	29.8655230695	-112.883219558
68.0	28.2916864632	-122.161968734
69.0	26.4382040959	-129.910994964
70.0	24.5824754006	-136.272126911
71.0	22.8642956443	-141.476951218
72.0	21.3344303094	-145.756569701
73.0	19.9976899309	-149.307517942
74.0	18.8390622060	-152.286039525
75.0	17.8370586482	-154.812896510
76.0	16.9697819269	-156.980588361
77.0	16.2173376576	-158.860025615
78.0	15.5625493160	-160.505894446
79.0	14.9909447733	-161.960733003
80.0	14.4904684079	-163.257957149
81.0	14.0511216149	-164.424089482
82.0	13.6646156614	-165.480401808
83.0	13.3240674392	-166.444131851
84.0	13.0237442331	-167.329390843
85.0	12.7588545687	-168.147846750
86.0	12.5253787426	-168.909243559
87.0	12.3199320619	-169.621799794
88.0	12.1396549183	-170.292517856
89.0	11.9821240361	-170.927426673
90.0	11.8452808355	-171.531774223
91.0	11.7273733673	-172.110182591
92.0	11.6269090927	-172.666774269
93.0	11.5426162708	-173.205277161
94.0	11.4734122045	-173.729113355
95.0	11.4183770058	-174.241476027
96.0	11.3767317036	-174.745397913
97.0	11.3478196582	-175.243814060
98.0	11.3310906811	-175.739621344
99.0	11.3260867571	-176.235736820
100.0	11.3324290095	-176.735007579
