Frequency	Amplitude	Phase Angle
50.0	109.302979241	170.827036600
51.0	115.403721600	169.729720196
52.0	122.290502175	168.468551677
53.0	130.106171885	167.009375837
54.0	139.024315121	165.308586859
55.0	149.254367076	163.309991308
56.0	161.044625910	160.940588914
57.0	174.678499602	158.105044207
58.0	190.453597594	154.678882413
59.0	208.621895109	150.501338736
60.0	229.249404120	145.371245174
61.0	251.929908545	139.055000991
62.0	275.298314397	131.325870082
63.0	296.462874199	122.062756334
64.0	310.975414750	111.414812036
65.0	314.369057128	99.9405266734
66.0	305.023231691	88.5252262481
67.0	285.518883113	78.0296738352
68.0	260.705610298	68.9611044323
69.0	234.879535125	61.4265183241
70.0	210.594280920	55.2844204377
71.0	188.913840624	50.3035893856
72.0	170.035835726	46.2533239280
73.0	153.763179644	42.9375288186
74.0	139.764117568	40.2004449491
75.0	127.692486059	37.9218449363
76.0	117.234864952	36.0098204487
77.0	108.123976685	34.3941156115
78.0	100.138068942	33.0207713571
79.0	93.0953478984	31.8480584302
80.0	86.8473426883	30.8434634477
81.0	81.2727115313	29.9814729118
82.0	76.2719616477	29.2419462791
83.0	71.7631349076	28.6089171315
84.0	67.6783519349	28.0697069083
85.0	63.9610702779	27.6142665182
86.0	60.5639170480	27.2346861754
87.0	57.4469744652	26.9248315371
88.0	54.5764215455	26.6800751482
89.0	51.9234543273	26.4971022999
90.0	49.4634254993	26.3737756531
91.0	47.1751558829	26.3090487161
92.0	45.0403839537	26.3029202883
93.0	43.0433250508	26.3564257908
94.0	41.1703209763	26.4716625197
95.0	39.4095643608	26.6518473132
96.0	37.7508875526	26.9014060543
97.0	36.1856086014	27.2260945027
98.0	34.7064309279	27.6331487431
99.0	33.3073959164	28.1314611387
100.0	31.9838904306	28.7317482421
