Frequency	Amplitude	Phase Angle
50.0	2.60104112812	164.529298322
51.0	2.8524463913	163.313759292
52.0	3.13708805760	161.934728995
53.0	3.46126501018	160.358048993
54.0	3.83274090714	158.540109539
55.0	4.26106050283	156.424712549
56.0	4.75784054993	153.938852382
57.0	5.33687926618	150.987187472
58.0	6.01370866851	147.445236172
59.0	6.80375372981	143.152226016
60.0	7.71740641678	137.906980455
61.0	8.74912488362	131.475889637
62.0	9.85746719613	123.632207343
63.0	10.9388505284	114.254826528
64.0	11.8178056894	103.492887860
65.0	12.2980607011	91.9048683823
66.0	12.2771884428	80.3760808982
67.0	11.8184163226	69.7672745793
68.0	11.0924741797	60.5856699383
69.0	10.2678041673	52.9382521011
70.0	9.45451800000	46.6835104447
71.0	8.70619031061	41.5902078386
72.0	8.04067208633	37.4276270209
73.0	7.45782652078	33.9996570476
74.0	6.95005922378	31.1505233805
75.0	6.50758747387	28.7599841864
76.0	6.12077119824	26.7361179558
77.0	5.78099414025	25.0086576618
78.0	5.48088616327	23.5236357149
79.0	5.21427186733	22.2393182686
80.0	4.97602286199	21.1231921075
81.0	4.76189093073	20.1497505393
82.0	4.56835291765	19.2988681072
83.0	4.39247737126	18.5546045204
84.0	4.23181409429	17.9043211282
85.0	4.08430436066	17.3380264639
86.0	3.94820868842	16.8478909766
87.0	3.82204888209	16.4278892043
88.0	3.70456169738	16.0735388561
89.0	3.59466173376	15.7817165239
90.0	3.49141182687	15.5505347222
91.0	3.39399942254	15.3792710437
92.0	3.30171798056	15.2683427428
93.0	3.21395252607	15.2193237727
94.0	3.13016886959	15.2350025288
95.0	3.04990617397	15.3194813395
96.0	2.97277283515	15.4783187667
97.0	2.89844575174	15.7187174592
98.0	2.82667346800	16.0497582580
99.0	2.75728388970	16.4826797186
100.0	2.69019764136	17.0311803570
