Frequency	Amplitude	Phase Angle
50.0	0.00112012187086	-9.22172095256
51.0	0.00113710736922	-10.3208660215
52.0	0.00115945965299	-11.5838198770
53.0	0.00118785098414	-13.0447273505
54.0	0.00122310462531	-14.7471833588
55.0	0.00126620694706	-16.7473697950
56.0	0.00131829831491	-19.1182747479
57.0	0.00138061091223	-21.9552207677
58.0	0.00145428683966	-25.3826691079
59.0	0.00153994443204	-29.5613702299
60.0	0.00163675583256	-34.6924772493
61.0	0.0017406987719	-41.0095749748
62.0	0.00184181155079	-48.7393830461
63.0	0.00192146042753	-58.0029801309
64.0	0.001953533989	-68.6511957589
65.0	0.00191503037596	-80.1255213115
66.0	0.00180264455377	-91.5406107877
67.0	0.00163774822672	-102.035680185
68.0	0.00145206257947	-111.103472654
69.0	0.00127082075652	-118.636965041
70.0	0.00110730070246	-124.777628609
71.0	0.000965679039638	-129.756659824
72.0	0.000845326122042	-133.804734062
73.0	0.00074372192386	-137.117919752
74.0	0.000657934912233	-139.851947934
75.0	0.000585236477208	-142.127017027
76.0	0.000523295208452	-144.035005474
77.0	0.000470193391617	-145.646138159
78.0	0.000424379608743	-147.014342431
79.0	0.000384606011443	-148.181314874
80.0	0.00034986887772	-149.179535570
81.0	0.000319358230397	-150.034484263
82.0	0.000292417174738	-150.766267497
83.0	0.000268509825562	-151.390817629
84.0	0.000247196263598	-151.920779563
85.0	0.000228113041835	-152.366169694
86.0	0.000210958001257	-152.734866499
87.0	0.000195478402814	-153.032975310
88.0	0.000181461614284	-153.265097836
89.0	0.00016872776181	-153.434527502
90.0	0.000157123900791	-153.543386246
91.0	0.000146519370248	-153.592713109
92.0	0.000136802067405	-153.582511890
93.0	0.000127875452895	-153.511762608
94.0	0.000119656131958	-153.378399881
95.0	0.000112071900766	-153.179258968
96.0	0.000105060169077	-152.909990963
97.0	9.85666955859e-05	-152.564947191
98.0	9.25445853296e-05	-152.137034127
99.0	8.69535160891e-05	-151.617542694
100.0	8.17591689772e-05	-150.995832199
