Frequency	Amplitude	Phase Angle
50.0	6.17520610034e-05	163.226820716
51.0	6.5438948081e-05	161.964803687
52.0	6.96075731584e-05	160.537690036
53.0	7.43465080519e-05	158.911237422
54.0	7.97637333735e-05	157.041746532
55.0	8.59901011461e-05	154.872923573
56.0	9.31817046309e-05	152.331660394
57.0	0.000101518425664	149.322505635
58.0	0.000111192477611	145.720859514
59.0	0.000122373843934	141.365822787
60.0	0.000135127295898	136.056082253
61.0	0.000149240434928	129.557880430
62.0	0.000163926884067	121.644311753
63.0	0.000177470863913	112.194096639
64.0	0.000187182664346	101.356188510
65.0	0.000190299417692	89.6888610798
66.0	0.000185723423817	78.0772057391
67.0	0.000174898291775	67.3817302677
68.0	0.000160694860929	58.1093913299
69.0	0.000145708469953	50.3668853503
70.0	0.000131511804256	44.0123849258
71.0	0.0001187830936	38.8143045776
72.0	0.000107671802932	34.5415435891
73.0	9.80813854023e-05	30.9975673576
74.0	8.98274367422e-05	28.0261328511
75.0	8.27120336381e-05	25.5064786227
76.0	7.65536703667e-05	23.3461054756
77.0	7.11964184574e-05	21.4741027733
78.0	6.6510286116e-05	19.8357838711
79.0	6.23883495305e-05	18.3886097954
80.0	5.87430752106e-05	17.0991632612
81.0	5.5502801114e-05	15.9409197266
82.0	5.26086985543e-05	14.8926045751
83.0	5.00122693943e-05	13.9369765664
84.0	4.76733306371e-05	13.0599198231
85.0	4.55584082726e-05	12.2497606221
86.0	4.36394634687e-05	11.4967477228
87.0	4.18928812302e-05	10.7926536772
88.0	4.02986669794e-05	10.1304651572
89.0	3.88398050799e-05	9.50413991523
90.0	3.75017449701e-05	8.90841374981
91.0	3.62719871822e-05	8.33864506209
92.0	3.51397480552e-05	7.79068770416
93.0	3.40956869005e-05	7.26078535324
94.0	3.31316826395e-05	6.74548163992
95.0	3.22406492299e-05	6.24154222241
96.0	3.14163829636e-05	5.74588487362
97.0	3.06534344641e-05	5.25551506801
98.0	2.99470005229e-05	4.76746447016
99.0	2.92928313517e-05	4.27873013677
100.0	2.86871497643e-05	3.78620928490
