Frequency	Amplitude	Phase Angle
50.0	2.14592106134e-05	-14.9854599441
51.0	2.25752131296e-05	-16.1821144959
52.0	2.38339815864e-05	-17.5415162690
53.0	2.52612290672e-05	-19.0977832517
54.0	2.6888108084e-05	-20.8944821541
55.0	2.8752055684e-05	-22.9877650981
56.0	3.08972025851e-05	-25.4505887199
57.0	3.33734669767e-05	-28.3782419946
58.0	3.62323919565e-05	-31.8951505471
59.0	3.95157056131e-05	-36.1620265164
60.0	4.32289998363e-05	-41.3799817481
61.0	4.72887519079e-05	-47.7825567175
62.0	5.14334593469e-05	-55.5964226556
63.0	5.5122419019e-05	-64.9426058797
64.0	5.75373967592e-05	-75.6718786071
65.0	5.78734274939e-05	-87.2256693670
66.0	5.58644057251e-05	-98.7185631798
67.0	5.20170812877e-05	-109.289699861
68.0	4.72405280694e-05	-118.431738218
69.0	4.23258129155e-05	-126.037561497
70.0	3.77348882881e-05	-132.248536651
71.0	3.36538813627e-05	-137.295743613
72.0	3.01108496103e-05	-141.409727101
73.0	2.70632490611e-05	-144.786408548
74.0	2.44455361918e-05	-147.581353550
75.0	2.21908519936e-05	-149.914573048
76.0	2.02393050019e-05	-151.877732937
77.0	1.85401450451e-05	-153.540816133
78.0	1.70514462387e-05	-154.957473843
79.0	1.57389445659e-05	-156.169086263
80.0	1.4574723667e-05	-157.207770295
81.0	1.35360118359e-05	-158.098586852
82.0	1.2604167343e-05	-158.861158393
83.0	1.17638546261e-05	-159.510855390
84.0	1.10023876938e-05	-160.059668988
85.0	1.03092108515e-05	-160.516851651
86.0	9.67548943929e-06	-160.889386375
87.0	9.09378692411e-06	-161.182324946
88.0	8.55780964783e-06	-161.399025114
89.0	8.06220438598e-06	-161.541305980
90.0	7.60239748063e-06	-161.609536181
91.0	7.17446660535e-06	-161.602661873
92.0	6.7750386478e-06	-161.518180260
93.0	6.40120867648e-06	-161.352059708
94.0	6.05047623698e-06	-161.098605684
95.0	5.72069631432e-06	-160.750270340
96.0	5.41004313672e-06	-160.297402494
97.0	5.11698583072e-06	-159.727936440
98.0	4.84027547469e-06	-159.027021446
99.0	4.57894399596e-06	-158.176604468
100.0	4.33231573183e-06	-157.154863276
