Frequency	Amplitude	Phase Angle
50.0	0.0105935240385	-105.137478288
51.0	0.0113746727178	-106.343427138
52.0	0.0122526616551	-107.712762528
53.0	0.0132455096109	-109.279654620
54.0	0.0143752418	-111.087727316
55.0	0.0156686444564	-113.193195428
56.0	0.0171578346234	-115.669084319
57.0	0.0188801169642	-118.610758478
58.0	0.0208759151431	-122.142726600
59.0	0.0231821788205	-126.425792300
60.0	0.0258161863513	-131.661168341
61.0	0.0287414703384	-138.082506516
62.0	0.0318081405393	-145.916601314
63.0	0.0346796484197	-155.284615546
64.0	0.0368186760077	-166.037472603
65.0	0.0376609747236	-177.616769191
66.0	0.0369632332475	170.863026818
67.0	0.0349893906119	160.261959174
68.0	0.0322997531304	151.087440501
69.0	0.0294122022695	143.446327729
70.0	0.0266472358738	137.196962779
71.0	0.0241482513237	132.107938963
72.0	0.0219520538791	127.948344635
73.0	0.0200447062561	124.521844575
74.0	0.0183932692766	121.672406900
75.0	0.0169609885451	119.279492963
76.0	0.0157135870382	117.250839084
77.0	0.0146213333114	115.515783540
78.0	0.0136592831159	114.019902506
79.0	0.0128068234513	112.720934472
80.0	0.0120470185063	111.585754839
81.0	0.0113659619433	110.588147595
82.0	0.0107522084363	109.707162972
83.0	0.0101963005599	108.925901021
84.0	0.00969038510823	108.230604054
85.0	0.00922790593313	107.609973055
86.0	0.00880335921948	107.054647743
87.0	0.00841209869528	106.556806873
88.0	0.00805018033417	106.109857055
89.0	0.00771423809945	105.708187522
90.0	0.00740138411523	105.346973735
91.0	0.00710912799014	105.022017362
92.0	0.00683531126106	104.729612970
93.0	0.00657805381064	104.466433891
94.0	0.00633570966277	104.229431422
95.0	0.00610683019617	104.015742348
96.0	0.00589013330069	103.822600211
97.0	0.00568447696317	103.647246730
98.0	0.0054888364449	103.486839152
99.0	0.0053022838689	103.338350124
100.0	0.00512396952486	103.198368576
