Frequency	Amplitude	Phase Angle
50.0	0.350888554724	80.7804334679
51.0	0.363317169047	79.6807147625
52.0	0.3777076094	78.4170912661
53.0	0.394384053288	76.9554099791
54.0	0.413738653663	75.2520674205
55.0	0.436240458376	73.2508726801
56.0	0.462437350392	70.8788281322
57.0	0.492938711621	68.0406012102
58.0	0.528352265308	64.6117200694
59.0	0.569121042947	60.4314231421
60.0	0.615160354057	55.2985456186
61.0	0.665144476098	48.9794902936
62.0	0.715340297845	41.2475246707
63.0	0.758342212048	31.9815562970
64.0	0.783278091068	21.3307412977
65.0	0.77988478435	9.85357317357
66.0	0.745464004953	-1.56461805192
67.0	0.687592082027	-12.0630651406
68.0	0.618792117146	-21.1345289360
69.0	0.549580212554	-28.6720048574
70.0	0.48586355065	-34.8169838643
71.0	0.429834206908	-39.8006829877
72.0	0.381620868598	-43.8537993894
73.0	0.340471658957	-47.1724243742
74.0	0.305380537547	-49.9123132190
75.0	0.275363158956	-52.1936896627
76.0	0.249555784319	-54.1084590309
77.0	0.227235720939	-55.7268742927
78.0	0.207811148308	-57.1028926896
79.0	0.190801566026	-58.2782418280
80.0	0.175817525088	-59.2854348227
81.0	0.162542716976	-60.1499858521
82.0	0.150719160416	-60.8920378168
83.0	0.140135322924	-61.5275609272
84.0	0.130616735845	-62.0692399715
85.0	0.12201862157	-62.5271328442
86.0	0.114220109226	-62.9091612536
87.0	0.10711968792	-63.2214754511
88.0	0.100631620521	-63.4687234552
89.0	0.0946831038849	-63.6542463888
90.0	0.0892120089366	-63.7802147320
91.0	0.0841650762308	-63.8477166316
92.0	0.0794964681675	-63.8568047961
93.0	0.0751666063223	-63.8065075043
94.0	0.0711412360786	-63.6948054946
95.0	0.0673906775553	-63.5185769649
96.0	0.0638892307012	-63.2735111331
97.0	0.0606147113382	-62.9539906927
98.0	0.0575481027184	-62.5529442865
99.0	0.0546733133071	-62.0616733797
100.0	0.051977035993	-61.4696094853
