Frequency	Amplitude	Phase Angle
50.0	0.0195597006075	-106.677400534
51.0	0.0211338003252	-107.936727195
52.0	0.0229117336027	-109.361103418
53.0	0.0249320613395	-110.984770431
54.0	0.0272421403168	-112.851426438
55.0	0.0298999191157	-115.017364160
56.0	0.0329754728986	-117.555690592
57.0	0.0365512462952	-120.561855998
58.0	0.0407185757706	-124.160458845
59.0	0.045565183023	-128.512397345
60.0	0.0511430676475	-133.818983408
61.0	0.0573991303866	-140.313973339
62.0	0.0640507141181	-148.224271444
63.0	0.0704270406325	-157.671155994
64.0	0.0754229885372	-168.505672316
65.0	0.0778380323927	179.830758684
66.0	0.0770958715346	168.222621630
67.0	0.0736642751087	157.530729716
68.0	0.0686562469042	148.262041044
69.0	0.063135295117	140.523253381
70.0	0.0577785744323	134.172540822
71.0	0.052902877066	128.978319419
72.0	0.0486026102137	124.709489896
73.0	0.0448631634822	121.169519098
74.0	0.0416267993385	118.202165718
75.0	0.0388249241477	115.686669733
76.0	0.036391933179	113.530533592
77.0	0.0342701292047	111.662848268
78.0	0.032410678508	110.028928758
79.0	0.0307729829179	108.586237694
80.0	0.0293235424821	107.301359377
81.0	0.0280347635621	106.147770907
82.0	0.0268838849275	105.104199270
83.0	0.0258520705133	104.153404689
84.0	0.0249236660289	103.281272834
85.0	0.0240855998893	102.476131263
86.0	0.0233269031181	101.728230075
87.0	0.022638325889	101.029342851
88.0	0.0220120308558	100.372457141
89.0	0.0214413472368	99.7515313319
90.0	0.0209205730575	99.1613014374
91.0	0.0204448151783	98.5971256873
92.0	0.0200098595956	98.0548571893
93.0	0.0196120653747	97.5307381266
94.0	0.0192482776271	97.0213098931
95.0	0.0189157555615	96.5233347133
96.0	0.0186121124756	96.0337256627
97.0	0.0183352653721	95.5494817992
98.0	0.0180833916733	95.0676264027
99.0	0.017854891857	94.5851455534
100.0	0.0176483557998	94.0988461414
