	Frequency [Hz]	Amplitude [m/s]	Phase Angle [deg]
51.0	0.0141882426011	-93.7071279384
52.0	0.0151714978487	-93.9426645554
53.0	0.0162659978401	-94.2035667707
54.0	0.0174918299948	-94.4943884363
55.0	0.0188741694675	-94.8208404306
56.0	0.0204449904009	-95.1901826045
57.0	0.0222455133762	-95.6117860118
58.0	0.0243297841491	-96.0979581001
59.0	0.0267700390584	-96.6651856805
60.0	0.0296649806161	-97.3360634471
61.0	0.033152962438	-98.1423900315
62.0	0.0374337909374	-99.1303401505
63.0	0.0428063578373	-100.369517454
64.0	0.04973689673	-101.969705153
65.0	0.0589899872281	-104.113995114
66.0	0.0718959508318	-107.129795216
67.0	0.0909274287495	-111.656279898
68.0	0.120929137505	-119.082031621
69.0	0.170565245554	-132.741362281
70.0	0.238181102556	-159.694800601
71.0	0.243132889117	161.258930635
72.0	0.179376353592	133.691794591
73.0	0.130174353744	119.697424892
74.0	0.100164628697	112.120076492
75.0	0.0810954000697	107.516344366
76.0	0.0681645918516	104.455254655
77.0	0.0588999948059	102.280786129
78.0	0.0519680097141	100.658070722
79.0	0.0466015257819	99.4003539511
80.0	0.0423326793062	98.3958872821
81.0	0.0388615642524	97.5739268337
82.0	0.0359877473697	96.8875868558
83.0	0.0335724922969	96.3045924549
84.0	0.0315168714505	95.8020056767
85.0	0.0297485297502	95.3630725565
86.0	0.0282133774527	94.9752610856
87.0	0.0268702057949	94.6289971885
88.0	0.0256870968073	94.3168252678
89.0	0.0246389690466	94.0328356174
90.0	0.0237058628571	93.7722639940
91.0	0.0228717187117	93.5312052450
92.0	0.0221234914714	93.3064038474
93.0	0.0214504987975	93.0950971622
94.0	0.020843935203	92.8948952017
95.0	0.0202965056367	92.7036857300
96.0	0.0198021469155	92.5195566650
97.0	0.0193558144927	92.3407298519
98.0	0.0189533193523	92.1655014333
99.0	0.0185912033739	91.9921847663
100.0	0.0182666460609	91.8189743705
