Frequency	Amplitude	Phase Angle [deg]
51.0	5.54803377573e-07	-4.26843610462
52.0	5.86952986482e-07	-4.52261300877
53.0	6.22964388334e-07	-4.80264919061
54.0	6.63534476488e-07	-5.11311584952
55.0	7.09537063487e-07	-5.45974220738
56.0	7.62082401162e-07	-5.84980750625
57.0	8.22602298056e-07	-6.29270337719
58.0	8.92974580446e-07	-6.80075915055
59.0	9.75709693605e-07	-7.39048491059
60.0	1.07423850188e-06	-8.08450013079
61.0	1.19337077928e-06	-8.91463000113
62.0	1.34005333029e-06	-9.92707756358
63.0	1.52467844727e-06	-11.1914768823
64.0	1.76345691035e-06	-12.8176437887
65.0	2.0829717167e-06	-14.9887052574
66.0	2.52947064218e-06	-18.0321069655
67.0	3.18889552303e-06	-22.5870640833
68.0	4.22956396318e-06	-30.0422031604
69.0	5.95213645314e-06	-43.7318836613
70.0	8.29669992252e-06	-70.7166860599
71.0	8.45776281251e-06	-109.795693242
72.0	6.23431668334e-06	-137.396394742
73.0	4.52230297461e-06	-151.425527449
74.0	3.47983519821e-06	-159.038908614
75.0	2.81871555558e-06	-163.680022325
76.0	2.37152004476e-06	-166.779928830
77.0	2.05210804133e-06	-168.994744050
78.0	1.81402976203e-06	-170.659439923
79.0	1.63057533797e-06	-171.960885170
80.0	1.48546047499e-06	-173.010954159
81.0	1.36825191453e-06	-173.880529536
82.0	1.27198174684e-06	-174.616650533
83.0	1.19183170756e-06	-175.251761970
84.0	1.12437099689e-06	-175.808990444
85.0	1.0670954805e-06	-176.305299714
86.0	1.01813859633e-06	-176.753455602
87.0	9.76084097143e-07	-177.163293439
88.0	9.3984130293e-07	-177.542561372
89.0	9.08559962491e-07	-177.897497593
90.0	8.81570920297e-07	-178.233236095
91.0	8.5834401968e-07	-178.554099427
92.0	8.38457798183e-07	-178.863815673
93.0	8.21577431508e-07	-179.165684156
94.0	8.07438573743e-07	-179.462706353
95.0	7.95835533604e-07	-179.757693672
96.0	7.86612702236e-07	179.946943527
97.0	7.79658527331e-07	179.647894531
98.0	7.74901556504e-07	179.342690110
99.0	7.72308256203e-07	179.028400816
100.0	7.71882478365e-07	178.701696629
