	Frequency [Hz]	Amplitude [m/s]	Phase Angle [deg]
51.0	4.79822494251e-05	-82.8106714812
52.0	4.31185108396e-05	-80.4417338278
53.0	3.73490594629e-05	-76.7507507628
54.0	3.06713395078e-05	-70.4381716283
55.0	2.34303219985e-05	-58.1204159879
56.0	1.74891456144e-05	-30.9994759565
57.0	1.87558663625e-05	12.9180237095
58.0	3.02595226966e-05	42.0427978791
59.0	4.87239813271e-05	55.0764577939
60.0	7.31866701679e-05	61.3974958959
61.0	0.000104586866043	64.7242489770
62.0	0.0001449721608	66.4351230628
63.0	0.000197658892217	67.0850868389
64.0	0.000267953778255	66.8752637606
65.0	0.000364678891528	65.7932506668
66.0	0.000503377538675	63.6126849883
67.0	0.000713426604174	59.7578531619
68.0	0.00105408815402	52.8819615209
69.0	0.00163975398088	39.6792996842
70.0	0.00251000405214	13.1095509834
71.0	0.00279391253625	-25.6116393472
72.0	0.0022375422791	-52.9008046616
73.0	0.00175573622231	-66.6563665741
74.0	0.00145572531486	-74.0277206780
75.0	0.00126611971791	-78.4533154636
76.0	0.00114021130766	-81.3602091210
77.0	0.0010530644546	-83.4012988001
78.0	0.000990986488468	-84.9089403282
79.0	0.00094602354026	-86.0678560665
80.0	0.000913300783441	-86.9881447944
81.0	0.000889690797809	-87.7392095573
82.0	0.000873110454936	-88.3668485881
83.0	0.000862129868761	-88.9024601822
84.0	0.000855744557171	-89.3682842026
85.0	0.000853237236142	-89.7805302200
86.0	0.000854091045726	-90.1513208053
87.0	0.000857933493357	-90.4899416057
88.0	0.000864499396034	-90.8036707208
89.0	0.000873605978387	-91.0983446803
90.0	0.000885136019218	-91.3787550383
91.0	0.000899026469967	-91.6489336937
92.0	0.000915260991822	-91.9123638276
93.0	0.000933865366423	-92.1721407000
94.0	0.000954905183772	-92.4310986238
95.0	0.000978485422253	-92.6919155756
96.0	0.00100475175139	-92.9572038573
97.0	0.00103389352681	-93.2295932968
98.0	0.00106614859257	-93.5118125721
99.0	0.00110181013027	-93.8067737596
100.0	0.00114123597494	-94.1175859215
