	Frequency [Hz]	Amplitude [m/s]	Phase Angle [deg]
51.0	0.161748232307	85.4780201892
52.0	0.17558225199	85.0743399498
53.0	0.191624155463	84.6047595450
54.0	0.210459609112	84.0516117376
55.0	0.232899247387	83.3903593245
56.0	0.26009687267	82.5859230481
57.0	0.293749699306	81.5863963632
58.0	0.336454202798	80.3117155844
59.0	0.392374837444	78.6319238241
60.0	0.468584660678	76.3221832376
61.0	0.5779514528	72.9605804022
62.0	0.74574607507	67.6683919227
63.0	1.02410149180	58.3672422932
64.0	1.49501782793	39.6689126029
65.0	1.92884396397	2.96283200809
66.0	1.56604872453	-35.3578921815
67.0	1.08109712623	-55.4983622797
68.0	0.789398104933	-65.4036360066
69.0	0.614452419948	-70.9661288411
70.0	0.501147657994	-74.4648622066
71.0	0.422603925173	-76.8510115221
72.0	0.365204802077	-78.5759539557
73.0	0.321511421954	-79.8780197245
74.0	0.287167689862	-80.8939740883
75.0	0.259470043064	-81.7075923217
76.0	0.236658012459	-82.3729331142
77.0	0.217538632914	-82.9263870504
78.0	0.201276037491	-83.3933229135
79.0	0.187267740555	-83.7919524792
80.0	0.175068809882	-84.1356798635
81.0	0.164343694487	-84.4345846081
82.0	0.154834654961	-84.6963889968
83.0	0.146340502053	-84.9271071021
84.0	0.138701930286	-85.1314913885
85.0	0.13179118251	-85.3133469533
86.0	0.125504627414	-85.4757572354
87.0	0.119757336623	-85.6212491874
88.0	0.114479062235	-85.7519164525
89.0	0.109611211392	-85.8695128653
90.0	0.105104542368	-85.9755249262
91.0	0.100917389808	-86.0712291760
92.0	0.0970142848807	-86.1577389767
93.0	0.0933648725268	-86.2360439465
94.0	0.0899430550282	-86.3070446977
95.0	0.0867263123535	-86.3715851976
96.0	0.0836951592286	-86.4304847765
97.0	0.0808327125255	-86.4845720126
98.0	0.078124347261	-86.5347229120
99.0	0.0755574270232	-86.5819064253
100.0	0.0731210974156	-86.6271680025
